model,key,world,area,stage,name,levelReq,monsterHp,monsterAtk,enterDmg(prevGear),enterHp(prevGear),enterTTK,enterSurvivalHits,farmDmg(thisGear),farmHp(thisGear),farmTTK,farmSurvivalHits
current(10/100,+5/+5),1:grass:1,1,grass,1,"슬라임",0,500,4,10,100,50,25,33,410,16,103
current(10/100,+5/+5),1:grass:2,1,grass,2,"투구 슬라임",10,650,5,83,460,8,92,95,635,7,127
current(10/100,+5/+5),1:grass:3,1,grass,3,"전사 슬라임",20,900,6,146,685,7,115,158,860,6,144
current(10/100,+5/+5),1:grass:4,1,grass,4,"광폭화 슬라임",30,1300,7,209,910,7,130,222,1085,6,155
current(10/100,+5/+5),1:grass:5,1,grass,5,"슬라임 왕",40,2100,8,273,1135,8,142,344,1880,7,235
current(10/100,+5/+5),1:orc:1,1,orc,1,"풋내기 오크",14,2600,6,208,1750,13,292,166,1355,16,226
current(10/100,+5/+5),1:orc:2,1,orc,2,"전사 오크",24,3250,7,218,1405,15,201,231,1580,15,226
current(10/100,+5/+5),1:orc:3,1,orc,3,"광전사 오크",34,4100,8,282,1630,15,204,296,1805,14,226
current(10/100,+5/+5),1:orc:4,1,orc,4,"주술사 오크",44,5000,9,347,1855,15,207,361,2030,14,226
current(10/100,+5/+5),1:orc:5,1,orc,5,"오크 족장",54,8000,10,413,2080,20,208,490,2825,17,283
current(10/100,+5/+5),1:dragon:1,1,dragon,1,"새끼 드레이크",28,11000,8,351,2695,32,337,306,2300,36,288
current(10/100,+5/+5),1:dragon:2,1,dragon,2,"불꽃 드레이크",38,13000,9,358,2350,37,262,372,2525,35,281
current(10/100,+5/+5),1:dragon:3,1,dragon,3,"비늘 와이번",48,16000,10,424,2575,38,258,438,2750,37,275
current(10/100,+5/+5),1:dragon:4,1,dragon,4,"다크 드래곤",58,20000,11,491,2800,41,255,506,2975,40,271
current(10/100,+5/+5),1:dragon:5,1,dragon,5,"골드 드래곤",68,32500,12,559,3025,59,253,641,3770,51,315
current(10/100,+5/+5),1:space:1,1,space,1,"갤럭시 슬라임",45,45000,10,516,3655,88,366,466,3260,97,326
current(10/100,+5/+5),1:space:2,1,space,2,"갤럭시 오크",55,65000,11,519,3310,126,301,534,3485,122,317
current(10/100,+5/+5),1:space:3,1,space,3,"갤럭시 드래곤",65,110000,13,588,3535,188,272,672,4280,164,330
current(10/100,+5/+5),2:cave:1,2,cave,1,"동굴 박쥐",100,125000,14,865,4455,145,319,806,4060,156,290
current(10/100,+5/+5),2:cave:2,2,cave,2,"어둠 박쥐",110,140000,15,860,4110,163,274,877,4285,160,286
current(10/100,+5/+5),2:cave:3,2,cave,3,"흡혈 박쥐",120,160000,16,931,4335,172,271,947,4510,169,282
current(10/100,+5/+5),2:cave:4,2,cave,4,"광폭 박쥐",130,180000,17,1002,4560,180,269,1019,4735,177,279
current(10/100,+5/+5),2:cave:5,2,cave,5,"박쥐 군주",140,210000,18,1073,4785,196,266,1174,5530,179,308
current(10/100,+5/+5),2:grave:1,2,grave,1,"해골 병사",110,225000,16,1005,5380,224,337,943,4985,239,312
current(10/100,+5/+5),2:grave:2,2,grave,2,"해골 궁수",120,250000,17,998,5035,251,297,1015,5210,247,307
current(10/100,+5/+5),2:grave:3,2,grave,3,"해골 기사",130,280000,18,1070,5260,262,293,1087,5435,258,302
current(10/100,+5/+5),2:grave:4,2,grave,4,"저주받은 해골",140,310000,20,1143,5485,272,275,1160,5660,268,283
current(10/100,+5/+5),2:grave:5,2,grave,5,"해골 군주",150,350000,22,1216,5710,288,260,1359,6455,258,294
current(10/100,+5/+5),2:demon:1,2,demon,1,"악마 하수인",120,400000,20,1182,6305,339,316,1116,5910,359,296
current(10/100,+5/+5),2:demon:2,2,demon,2,"악마 기사",130,450000,22,1173,5960,384,271,1193,6135,378,279
current(10/100,+5/+5),2:demon:3,2,demon,3,"지옥 마법사",140,525000,24,1251,6185,420,258,1270,6360,414,265
current(10/100,+5/+5),2:demon:4,2,demon,4,"타락한 군주",150,600000,26,1329,6410,452,247,1349,6585,445,254
current(10/100,+5/+5),2:demon:5,2,demon,5,"마왕",160,750000,28,1407,6635,534,237,1524,7380,493,264
current(10/100,+5/+5),2:hell:1,2,hell,1,"탐욕의 망령",130,1000000,26,1343,7230,745,279,1272,6835,787,263
current(10/100,+5/+5),2:hell:2,2,hell,2,"질투의 망령",140,1300000,28,1331,6885,977,246,1351,7060,963,253
current(10/100,+5/+5),2:hell:3,2,hell,3,"👑 분노의 신",150,1750000,32,1411,7110,1241,223,1528,7855,1146,246
current(10/100,+5/+5),3:atlantis:1,3,atlantis,1,"산호 슬라임",200,2600000,30,1833,8105,1419,271,1752,7710,1485,257
current(10/100,+5/+5),3:atlantis:2,3,atlantis,2,"심해 해마 기사",210,3100000,33,1812,7760,1711,236,1835,7935,1690,241
current(10/100,+5/+5),3:atlantis:3,3,atlantis,3,"잠수꾼 망령",220,3800000,36,1895,7985,2006,222,1918,8160,1982,227
current(10/100,+5/+5),3:atlantis:4,3,atlantis,4,"크라켄",230,4900000,39,1978,8210,2478,211,2002,8385,2448,215
current(10/100,+5/+5),3:atlantis:5,3,atlantis,5,"👑 포세이돈",240,7250000,42,2063,8435,3515,201,2201,9180,3294,219
current(10/100,+5/+5),3:underworld:1,3,underworld,1,"길잃은 영혼",200,2700000,34,1951,8980,1384,265,1867,8585,1447,253
current(10/100,+5/+5),3:underworld:2,3,underworld,2,"지옥 사냥개",210,3350000,37,1928,8635,1738,234,1952,8810,1717,239
current(10/100,+5/+5),3:underworld:3,3,underworld,3,"사신의 그림자",220,4100000,41,2013,8860,2037,217,2037,9035,2013,221
current(10/100,+5/+5),3:underworld:4,3,underworld,4,"스틱스 망령",230,5250000,45,2099,9085,2502,202,2124,9260,2472,206
current(10/100,+5/+5),3:underworld:5,3,underworld,5,"👑 하데스",240,7750000,50,2186,9310,3546,187,2329,10055,3328,202
current(10/100,+5/+5),3:thunder:1,3,thunder,1,"구름 정령",200,2800000,36,2073,9855,1351,274,1985,9460,1411,263
current(10/100,+5/+5),3:thunder:2,3,thunder,2,"번개 박쥐",210,3500000,40,2048,9510,1709,238,2073,9685,1689,243
current(10/100,+5/+5),3:thunder:3,3,thunder,3,"스톰 나이트",220,4300000,44,2136,9735,2014,222,2161,9910,1990,226
current(10/100,+5/+5),3:thunder:4,3,thunder,4,"천둥 골렘",230,5500000,49,2224,9960,2474,204,2249,10135,2446,207
current(10/100,+5/+5),3:thunder:5,3,thunder,5,"👑 제우스",240,8250000,54,2313,10185,3567,189,2461,10930,3353,203
current(10/100,+5/+5),3:divine:1,3,divine,1,"크로노스",235,7000000,48,2429,10905,2882,228,2333,10510,3001,219
current(10/100,+5/+5),3:divine:2,3,divine,2,"가이아",245,9250000,56,2397,10560,3859,189,2423,10735,3818,192
current(10/100,+5/+5),3:divine:3,3,divine,3,"카오스",255,12000000,64,2488,10785,4824,169,2642,11530,4543,181
current(10/100,+5/+5),3:rift:1,3,rift,1,"🎲 확률의 도사",230,4500000,52,2476,11405,1818,220,2379,11010,1892,212
current(10/100,+5/+5),3:rift:2,3,rift,2,"🌓 양면의 문지기",240,5500000,58,2444,11060,2251,191,2471,11235,2226,194
current(10/100,+5/+5),3:rift:3,3,rift,3,"⚖️ 균형의 심판관",250,6500000,66,2536,11285,2564,171,2564,11460,2536,174
current(10/100,+5/+5),3:rift:4,3,rift,4,"🌀 심연의 분열체",260,8000000,75,2629,11510,3043,154,2789,12255,2869,164
